feature,coef,std_err,t_stat,p_value,ci_lower,ci_upper
intercept,0.793658766521897,0.0023958703819031537,331.26114522583487,0.0,0.7889562900524637,0.7983612429913304
pl_orbeccen,-0.004508151887114875,0.0027038231241785825,-1.6673249987402354,0.0958160019650369,-0.009815060272058293,0.0007987564978285443
pl_trandur,-0.011413923425439804,0.00421369248072666,-2.708769915613645,0.006888323004869894,-0.019684316469117464,-0.0031435303817621447
pl_imppar,0.005750743276454666,0.0024820578349233433,2.3169255750369224,0.020743253861288478,0.0008791030355380751,0.010622383517371256
st_teff,-0.014610721324741656,0.0072895290718331595,-2.004343652486096,0.04534821243649805,-0.028918189371621612,-0.00030325327786169705
st_rad,0.009279031248407545,0.0058644848108561996,1.582241500776064,0.11396426693719591,-0.002231441954443322,0.020789504451258413
st_met,0.00013907548307001463,0.002609305050367306,0.0532998175320426,0.9575054762086839,-0.004982318267446217,0.005260469233586246
log_pl_orbsmax,0.007765799986248968,0.005141605632919591,1.510384214714512,0.13131488004595393,-0.002325847578050471,0.017857447550548407
log_pl_trandep,0.013691835439067917,0.0032789276789186627,4.17570522433214,3.2752094374140495e-05,0.007256144939467318,0.020127525938668515
log_pl_insol,-0.00590455727471577,0.005808579710848145,-1.016523413406616,0.30966776228358334,-0.01730530316539862,0.005496188615967079
log_pl_bmasse,0.09531687421273646,0.002466494225075618,38.64467763341884,8.778349095825564e-190,0.0904757813293235,0.10015796709614942
log_sy_dist,0.034443133536983424,0.004019548880455685,8.568905258114114,4.83708259970376e-17,0.02655379437621245,0.0423324726977544
