lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.001,0.00507536073618324,0.0016595068577000321,0.673407473581807
0.0031622776601683794,0.005075359493887559,0.001659499974731236,0.6734075357210318
0.01,0.005075355568280304,0.0016594782098148615,0.6734077320350597
0.03162277660168379,0.005075343183170902,0.0016594093925242019,0.6734083509610077
0.1,0.0050753043050349965,0.001659191867239441,0.6734102894739346
0.31622776601683794,0.005075184216444874,0.0016585049301588357,0.6734162335785465
1.0,0.005074832539566121,0.0016563419431513556,0.6734332016869568
3.1622776601683795,0.005073987407312432,0.0016495924318860962,0.6734694862262939
10.0,0.005073637131173124,0.0016290832054061655,0.6734334846896058
31.622776601683793,0.005089519416076223,0.0015710228913337295,0.6722226352039963
100.0,0.005239745174328689,0.0014320195506565714,0.6619760169735468
316.22776601683796,0.006086031083883422,0.00120659781141279,0.6059302476807604
1000.0,0.008593832682775021,0.0010688234515510357,0.441425810921561
