model,test_R2,test_RMSE,test_MAE,cv_MSE,cv_R2
Lasso,0.6926827254079193,0.07300767492586195,0.043611631504854156,0.004612003110556439,0.6794839503474542
Ridge,0.6918499725804657,0.07310652426180245,0.043559065138394054,0.004648951192047668,0.6764813829981622
OLS full,0.6913711364171298,0.07316330254511862,0.04321551259135804,0.004658050963540583,0.6758218854533323
OLS selected,0.6909808598652118,0.07320954724798329,0.04312049565339316,0.0045728975865986995,0.6820413907440844
