lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.0001,0.005092725319237158,0.0014206772698820967,0.6727198279078208
0.00031622776601683794,0.005092722531419704,0.0014206720130143476,0.6727199765667077
0.001,0.005092713816584138,0.0014206554006833102,0.6727204400856251
0.0031622776601683794,0.005092687268027277,0.0014206029813431072,0.6727218400435464
0.01,0.005092613349495763,0.0014204384382838747,0.6727256136358933
0.03162277660168379,0.005092493483023075,0.0014199306991642606,0.6727301129125133
0.1,0.005093180352211276,0.0014184280224578813,0.6726747052621445
0.31622776601683794,0.00510575574234303,0.001414985138759368,0.6718222773473194
1.0,0.005140498095737641,0.0014203030141497507,0.6695383062666873
3.1622776601683795,0.0053008084690196145,0.0013873316419707063,0.6588323823454534
10.0,0.005952670578182923,0.0012650862834452544,0.6155894922601673
31.622776601683793,0.008702222243758417,0.0009780065730240187,0.43421346526088
100.0,0.015531663509022449,0.0012168933831295389,-0.012201417993554267
