column,missing_count,missing_percent,dtype
pl_orbeccen,118,13.61,float64
log_pl_insol,85,9.804,float64
log_pl_orbsmax,69,7.958,float64
log_pl_eqt,60,6.92,float64
log_pl_trandep,38,4.383,float64
pl_imppar,34,3.922,float64
st_met,24,2.768,float64
pl_trandur,18,2.076,float64
log_sy_dist,6,0.692,float64
st_mass,0,0.0,float64
st_rad,0,0.0,float64
st_teff,0,0.0,float64
st_logg,0,0.0,float64
log_pl_orbper,0,0.0,float64
log_pl_bmasse,0,0.0,float64
log_pl_rade,0,0.0,float64
