lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.0001,0.004711889149932273,0.001014110217102758,0.6723708038880466
0.00031622776601683794,0.0047118444384229834,0.0010141390575399698,0.6723740544608442
0.001,0.004711703208442533,0.0010142302410976855,0.6723843223433814
0.0031622776601683794,0.004711258202295646,0.001014518409397032,0.6724166789269136
0.01,0.0047098510445241675,0.0010154056478966825,0.6725188813517372
0.03162277660168379,0.004705613653753008,0.0010182656906476035,0.6728274193242146
0.1,0.004693819373516656,0.0010270946492250271,0.6736894125261342
0.31622776601683794,0.0046780602519013075,0.0010549076962614746,0.6749077015204307
1.0,0.004624891757666307,0.0010624468112266458,0.6786595719381109
3.1622776601683795,0.0046883558084794275,0.0010355846724815956,0.6741232839146817
10.0,0.00526033323366102,0.000983785552972287,0.6335977373921793
31.622776601683793,0.007966822595910745,0.0008754966642409856,0.4421534393699111
100.0,0.014267221966829127,0.0010524732761536418,-0.001372799072026402
