model,test_R2,test_RMSE,test_MAE,cv_MSE,cv_R2
Ridge,0.6921295503802711,0.07307335275856436,0.04430590362719855,0.004661443129431705,0.6757020566553709
OLS full,0.6915772698652789,0.0731388655518996,0.04408713546598263,0.004672055762998863,0.6749561733169491
Lasso,0.690562068658688,0.07325913824417038,0.043761936137719386,0.004624891757666307,0.6786595719381109
OLS selected,0.6900039477900726,0.07332517577475675,0.044022094946389756,0.0045906428269046435,0.6809279916699859
