lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.001,0.005075360736183241,0.0016595068577000328,0.673407473581807
0.0031622776601683794,0.005075359493887561,0.0016594999747312372,0.6734075357210317
0.01,0.005075355568280306,0.0016594782098148626,0.6734077320350597
0.03162277660168379,0.0050753431831709024,0.001659409392524203,0.6734083509610077
0.1,0.0050753043050349965,0.0016591918672394415,0.6734102894739346
0.31622776601683794,0.005075184216444874,0.001658504930158837,0.6734162335785465
1.0,0.0050748325395661206,0.0016563419431513573,0.6734332016869569
3.1622776601683795,0.005073987407312433,0.0016495924318860981,0.6734694862262938
10.0,0.005073637131173124,0.0016290832054061664,0.6734334846896057
31.622776601683793,0.005089519416076222,0.0015710228913337302,0.6722226352039963
100.0,0.005239745174328689,0.0014320195506565727,0.6619760169735469
316.22776601683796,0.0060860310838834215,0.00120659781141279,0.6059302476807604
1000.0,0.008593832682775021,0.0010688234515510361,0.4414258109215609
