lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.0001,0.005075327547024628,0.0016594126175265658,0.6734090523966063
0.00031622776601683794,0.005075322874188192,0.0016594037476831247,0.6734093306642471
0.001,0.0050753081665031305,0.0016593757035151223,0.6734102060691475
0.0031622776601683794,0.005075262347931387,0.0016592870674688007,0.6734129287960726
0.01,0.00507512436900715,0.0016590072497433704,0.6734210833502514
0.03162277660168379,0.005074769544683824,0.0016581371935897975,0.6734415578983144
0.1,0.005074312249169727,0.001655331018828774,0.673462123928694
0.31622776601683794,0.00508121711431556,0.0016477895455539195,0.6729811758371116
1.0,0.005104800922492201,0.0016284083153384947,0.671335129403716
3.1622776601683795,0.005249344112011711,0.0015752653836053744,0.6616175105629154
10.0,0.005782455970583013,0.0014376297739266079,0.626752109882743
31.622776601683793,0.0077528874785914624,0.0011536215644062553,0.4972658217845988
100.0,0.015461039959093226,0.0012907858919114345,-0.007418680389443599
