pl_orbper,pl_orbsmax,pl_orbeccen,pl_trandur,pl_trandep,pl_imppar,pl_eqt,pl_insol,pl_bmasse,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,pl_rade
3.91405,0.0464,0.0,,,,,,257.431,5000.0,0.82,0.87,,4.5,773.409,9.976
2.99433,0.0436,0.0,2.5009,1.1449,0.818,1657.0,1890.649,740.51,6440.0,1.37,1.27,-0.03,4.22,655.037,16.03
4.03519,0.051,0.0,3.14,1.18504723,0.374,1700.0,546.5339,415.704,5945.0,1.01,1.09,0.01,4.46,1148.93,9.92
3.101278,0.0434,0.0,3.072,1.21,0.28,1702.0,,197.046,5950.0,1.17,1.14,0.28,4.358,1344.97,14.011
6.21229,0.063,0.0,2.74,0.651,0.49,870.0,,69.92,5080.0,0.77,0.88,0.3,4.58,322.037,6.39
7.64159,0.0752,0.0,3.4872,0.22866,0.593,899.0,126.081,17.3,5345.0,1.108,0.972,0.19,4.31,433.047,5.49
3.504725,0.0447,0.0,2.076,0.0254,0.771,1165.0,355.735,6.9,5345.0,1.108,0.972,0.19,4.31,433.047,2.0
5.7214876,0.055,0.09,2.73864,2.5549,0.139,736.0,51.0,30.51152707,4425.0,0.657,0.683,0.02,4.633,64.7414,10.53646
3.21346,0.0456,0.0,3.98235,0.087,0.022,1650.0,1245.431,24.472,5857.0,1.487,1.223,0.17,4.17,487.916,4.002
6.87188,0.07522,0.03,4.807,0.69,0.35,1250.0,,1093.3352,6180.0,1.52,1.76,-0.02,4.25,136.24,13.78707
14.85888,0.1172,0.0,3.679,0.3265,0.767,720.0,51.922,16.4,5345.0,1.108,0.972,0.19,4.31,433.047,6.98
2.797436,0.0379,0.058,2.3304,1.899,0.505,1271.0,412.3914,371.528,5500.0,0.877,0.929,0.03,4.52,390.594,13.204
4.61442,0.05179,0.0,1.896,1.8,,1003.0,188.1062,136.6669,5200.0,0.88,0.91,-0.07,4.35,189.469,12.89035
1.51214,0.027,0.0,1.662,,0.86,1952.0,,2415.4,6035.0,1.21,1.13,0.05,4.35,1744.6,12.22
69.7546,0.37,0.833,3.7177,0.44912,0.019,613.0,37.416,794.5,6430.0,1.74,1.39,0.176,4.1,1011.36,10.8
8.886593,0.0855,0.1,4.08,,0.291,1017.0,,940.74,6090.0,1.025,1.05,-0.2,4.43,645.294,13.068
3.4059096,0.04659,0.0,2.6472,1.615,0.77,1423.7,970.9417,151.916,6302.0,1.252,1.163,-0.2,4.308,383.829,17.363
29.54115,0.1758,0.051,3.27,0.0445,0.808,,,4.72,5660.0,0.877,0.869,-0.28,4.49,64.5978,2.017
17.9801235,0.13114,0.0,4.1249,0.02139,0.814,752.0,107.741,3.81,6074.0,0.94,1.04,-0.2,4.51,1163.22,1.98
15.5741568,0.12307,0.0,5.1013,0.04681,0.775,799.0,64.389,53.0,5843.0,1.03,0.95,0.1,4.39,969.252,2.86
3.90512,0.0477,0.0,2.85516,1.756,0.0053,1046.0,272.033,,5545.0,0.86,0.95,0.12,4.53,914.699,12.442
12.4417,0.0929,0.0,3.02,0.007,0.16,578.0,28.489,4.0,4925.0,0.64,0.69,-0.37,4.68,300.874,0.54
5.714932,0.0553,0.0,2.31,0.043,0.25,750.0,80.326,9.0,4925.0,0.64,0.69,-0.37,4.68,300.874,1.31
11.8681707,0.09943,0.0,5.977,0.01019,0.729,864.0,187.51,4.1,6074.0,0.94,1.04,-0.2,4.51,1163.22,1.1
18.6489525,0.1361,0.0,4.4815,0.08936,0.76,701.0,60.997,111.0,5858.0,0.89,0.98,0.0,4.53,1366.07,2.89
13.722341,0.094,0.16,5.126,0.0597,0.15,779.0,123.517,5.65,5638.0,0.93,0.81,-0.29,4.4,730.625,2.24
8.13123,0.084,0.014,4.1,0.0098,0.53,1117.0,394.549,4.14,6211.0,1.41,1.25,0.17,4.232,303.728,1.52
16.3850021,0.10379,0.012,3.1252,0.11655,0.0953,433.0,8.55,45.4,4075.0,0.52,0.54,0.0,4.74,321.542,1.84
27.9481449,0.1593,0.0,3.4932,0.09425,0.063,400.0,6.642,43.0,4362.0,0.58,0.62,-0.01,4.7,578.796,2.43
66.262,0.3553,0.1181,,,,,,67.0,4700.0,0.7761,0.82,-0.2,4.5721,847.536,4.347
2.24375,0.037,0.09,2.574,1.0,0.499,1872.0,1356.33,2809.6172,6475.0,1.4,1.62,0.0,4.07,161.997,15.46842
5.6335158,0.06814,0.5172,4.2888,0.5651,0.457,1540.0,588.518,2866.81223114,6380.0,1.39,1.33,0.18,4.16,127.774,10.659759
4.641878,0.0575,0.0,4.0344,0.75254475,0.577,1428.0,684.0973,331.801,5743.0,1.53,1.178,0.27,4.14,405.238,14.348
7.919585,0.0697,0.1,2.448,1.69,0.29,670.0,38.0328,274.276,4650.0,0.613,0.719,-0.15,4.72,115.936,8.687
3.54387,0.0509,0.0,4.188,0.999,0.349,1752.0,1915.6934,190.372,6430.0,1.625,1.404,0.19,4.16,697.004,17.609
1.0187068,0.01855,0.0,1.4947875,9.15586353,0.584,2000.0,2544.6509,355.9696,5000.0,0.752,0.82,0.2,4.6,1030.76834437,15.277867
105.599,0.4632,0.032,,0.05,,475.0,,122.0,5623.0,1.752,0.941,-0.11,3.926,1174.59,4.3
143.34394,0.5,0.022,7.728,0.83,0.38,308.0,1.962,23.1,5498.0,0.95,0.99,0.18,4.77,914.221,8.8
9.37647,0.087,0.0,2.06,0.0159,0.94,1125.0,388.444,8.2,6225.0,1.58,1.24,0.03,4.132,250.11,2.17
9.4341505,0.08,0.45,2.903,0.40243,0.732,791.0,100.371,120.0,5576.0,0.901,0.984,0.05,4.52,194.033,6.11
3.57878087,0.04501,0.0,2.93376,0.9849,0.341,1440.0,432.871,136.661,5520.0,0.99,0.95,0.2,4.42,639.411,10.761
4.763387,0.0542,0.019,2.9856,1.31606298,0.158,1025.0,183.2395,75.323,5304.0,0.871,0.936,0.19,4.53,246.384,10.223
