pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist
1887.76,4.65,12.4,3368.981114,0.59,,,,,,,4500,50.24,3.75,-0.03,454.251
123.05,0.54,14.2,174.8056239,0.73,,,,,,,4500,17.85,1.38,-0.2,610.715
307.88,0.83,13.6,432.2466335,0.12,,,2.579,,,,5004,0.813064,0.81,-0.09,53.622
392.6,1,13.9,289.2253,0.2,,,,,,,4414,11,0.74,-0.2,871.493
733,1.7,13.5,540.311,0.76,,,,,,,4534,10.33,1.09,-0.13,666.589
2590,4.2,13.5,508.5,0.35,,,,,,,4943,7.6,1.52,-0.19,442.042
265.59,0.78,14,228.836453,0.27,,,0.6012,,,,5012,0.896193,0.909,0.18,52.5697
,1662,14.68376472,4767.426105,,,1303,,,,,4993,0.797,1,,44.9543
1198.48,2.06,12.4,3305.415433,0.88,,,5.974,,,,5000,0.804724,0.816,-0.09,38.0473
3.8728,0.0428,,1523.033726,0,,,0.3243,,,,4324,0.686355,0.7,-0.14,20.2695
125.94,0.435,8.38,53,0.31,,,,,,,4324,0.686355,0.7,-0.14,20.2695
5.6,0.06,,2948.494132,0.15,,,0.2746,,,,4816,0.71,0.5,-0.06,41.3342
237.6,0.68,12.5,104,0.19,,,,,,,4746,0.71,0.74,-0.07,41.3342
3.48777,0.04,14.1,187.5197,0.02,,,,,,,5393,0.91,1.47,0.38,84.4069
1634,2.36,14.1,206.5895,0.05,,,,,,,4550,0.639,0.651,-0.35,27.1665
74.2,0.3,4.04,15.37,0.4,,,,,,,4550,0.639,0.651,-0.35,27.1665
714.29999,1.66,12.5,3108.3774,0.21,,,,,,,4545,19.17,2.12,-0.08,925.214
4.2889731,0.0656,21.59,3932,0.066,646.761,2001,80.78,0.9099,0.649,3.086,6935,2.35,1.41,-0.34,589.423
655.57,1.34,12.8,1639.99458,0.5439,,,80,,,,4714,0.74,0.741,-0.03,34.4603
1891,2.63,14,214,0.1,0.02,,,,,,4051,0.747,0.679,0.12,23.7324
6240,5.9,12.9,1525.576354,0.43,0.0039,,33,,,,4051,0.747,0.69,0.12,23.7324
547,1.444,14.2,177.3482511,0.247,,,,,,,6033,1.414,1.083,-0.02,119.052
1823.5,3.634,,8358.887104,0.428,,,,,,,5701.43,2.75645,1.507,0.2615,234.294
3.1542,0.0229,0.72,0.299,0.03,6.76,438,,,,,3195,0.185,0.162,-0.56,1.82655
4.1244,0.0274,0.743,0.335,0.08,,400,,,,,3195,0.185,0.162,-0.56,1.82655
2.3402,0.0188,0.694,0.263,0.04,,483,,,,,3195,0.185,0.162,-0.56,1.82655
6.7392,0.0381,0.637,0.193,0.04,,340,,,,,3195,0.185,0.162,-0.56,1.82655
2.2907,0.0185,1.82,3.95,,8.6,464,87.48,,,,3130,0.175,0.161,0.13,8.60715
,67,17.37392009,9375.938007,,,1800,,,,,3689,0.558549,0.4,-0.16,22.3896
10037.5,2.6,12.4,3337.1,,,370,,,,,580.5,,0.021,,23.1
8040000,200,20.8487041,2479.061575,,,1800,,,,,2320,0.245,0.0147,,
,210,12.3,3994.486,,,,,,,,3099,,0.35,,190.374
25.2,0.17,13,1144.182265,0.58,,,,,,,3807,1.880857,0.9,,157.998
402000000,7506,12.57647635,2383.713053,,,493,,,,,3552,0.366,0.4,0,10.8864
,440,24.66,5403,,,2600,,,,,4403,1.679694,,-0.56,190.72
,2.48,12.2,4926.340309,,,390,,,,,,,0.024,,14.43
1.5089557,0.02752,16.7,327.35,0,2852.63,1898,85.1,0.35,1.92654,2.373,5950,1.11,0.95,-0.3,787.909
13.2406,0.1055,10.87,874,0.53,16.1089,600,88.55,0.85,1.61036,2.98,5075,0.79,0.89,0.26,338.386
2.99433,0.0436,16.03,740.51,0,1890.649,1657,83.17,0.818,1.1449,2.5009,6440,1.37,1.27,-0.03,655.037
2.828042,0.04016,16.14,291.438,0.07,661.1334,1442,85.48,0.573,1.744,2.57424,5675,1.116,1.078,0.16,1126.37
4.03519,0.051,9.92,415.704,0,546.5339,1700,88.02,0.374,1.18504723,3.14,5945,1.01,1.09,0.01,1148.93
1.51214,0.027,12.22,2415.4,0,,1952,79.6,0.86,,1.662,6035,1.21,1.13,0.05,1744.6
5.35227,0.0618,13.11,170.032,0.33,,,85.01,0.825,1.02,2.39,5650,1.19,1.098,0.19,732.409
3.7681,0.0461,11.43,772.29,0,,1626,88.34,0.18,0.44,4.72001,5740,1.59,1.04,0,1176.12
1.9000693,0.0295,14.68,1102.82,0.08,823.7009,1550,86.5,0.4,2.57170086,2.387,5440,1,0.95,-0.1,764.889
3.89713,0.0518,14.46,352.78,0.047,1103.809,2000,88,0.24,0.63127463,4.7,6090,1.65,1.21,-0.02,790.663
1.7429935,0.02798,16.432,1102.82,0.0143,932.9076,1521,88.08,0.221,2.75,2.26704,5625,0.906,0.96,0.04,213.283
9.24285,0.09,9.41556,1366.669,0.59,180.8704,1024,88.21,0.26,1.0879977,2.2248,5880,1.02,1.14,0.14,844.061
