pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist
62.25,0.295,10.1,72.46524,0.645,,,,,,,5221,0.871954,0.799,0.1453,11.1336
154.378,0.53364,14,214.53525,0.054,,,,,,,5698.64,0.949168,0.85,-0.44,31.6634
885.5,1.71,14.1,207.22516,0.125,,,,,,,5698.64,0.949168,0.85,-0.44,31.6634
1862,2.807,14,221.20968,0.16,,,,,,,5698.64,0.949168,0.85,-0.44,31.6634
55.01292,0.277,13.2,854.9627,0.6745,,,,,,,5329,0.91,0.94,0.27,46.7864
2720,3.74,13.1,1013.8777,0.03,,,,,,,5329,0.91,0.94,0.27,46.7864
1211,2.108,8.56,54.98431441,0.298,,,,,,,5049.8,0.83061,0.851785,0.1716,17.926
363.20001,1.02,14,127.132,0.41,,,,,,,5981,1.49,1.37,-0.18,38.0615
14.3099,0.115,14.1,206.5884646,0.256,,,,,,,5697,2.857838,0.98,0.51,42.3538
2127.60566,3.226,12.5,3299.058865,0.357,,,104.559,,,,5697,2.857838,0.98,0.51,42.3538
685.25,1.623,12.5,3082.31534,0.017,,,,,,,5338,2.029,1.207,0.25,91.4349
2088.8,3.28,12.3,4481.380539,0.642,,,45.8,,,,5998,1.17,1.07,0.09,18.2702
5.63692,0.05895,1.99,4.62,0.101,,,,,,,5205,0.783742,0.86,-0.61,26.4131
14.0309,0.1083,2.65,7.49,0.078,,,,,,,5205,0.783742,0.86,-0.61,26.4131
33.874,0.1949,2.12,5.16,0.159,,,,,,,5205,0.783742,0.86,-0.61,26.4131
3.2498,0.041,2.85,8.5,0.14,,,,,,,5576,0.744665,0.87,,23.2599
4.3123,0.0468,,1188.996071,0.2,,910,0.2022,,,,4956,0.716684,0.77,-0.31,12.9363
9.6184,0.0799,,1868.513205,0.06,,696,0.2109,,,,4956,0.716684,0.77,-0.31,12.9363
20.432,0.1321,,1775.389482,0.07,,541,0.2855,,,,4956,0.716684,0.77,-0.31,12.9363
51.76,0.247,2.13,5.2,0.02,,398,,,,,4956,0.716684,0.77,-0.31,12.9363
197.8,0.6,2.56,7.1,0.29,,255,,,,,4956,0.716684,0.77,-0.31,12.9363
578.6,1.4,13.2,858.141,0.24,,,,,,,4869,8.56,2,0.14,116.593
264.14999,0.85,12.9,1484.2661,0.25,,,,,,,6165,1.21,1.45,0.2,34.0883
963,,13.2,807.25,0.74,,,,,,,5310,0.85,0.95,0.23,36.69117
1.3283,,12.1,5838.29,0.081,,,,,,,5036,1.04137,0.4,,41.5504
526.5239,1.28,13.5,541.2617771,0.899,,,,,,,5688,1.077514,1.008,0.2,41.8727
857.5,1.67,13.5,508.528,0.2,,,,,,,5405,0.82,0.83,-0.09,36.7984
431.88,1.17,13.3,708.7609,0.52,,,,,,,5596,1.42,1.25,0.4,81.3795
6700,6.95,13.3,689.66,0.24,,,,,,,5582,1.49795,0.99,0.34,81.3795
832.97,1.662,13.9,257.4423,0.042,,,,,,,5717,0.846,0.883,-0.28,34.1937
149.61,0.554,3.89,14.4,0.19,3.16,337,,,,,5727,0.999,1.015,-0.09,24.3358
15.56,0.12,4.12,15.8915,0,,,,,,,5686,1.02,0.93,-0.35,22.0158
356.21,1.157,13.4,612.45841,0.147,,,,,,,4943,5.14,1.63,0.14,136.308
308.92072,0.882,14.2,175.7591091,0.742,,,,,,,5508,1,0.96,0.4,62.4112
9295.9735,8.54,12.6,2500.673906,0.149,,,11.42,,,,5508,1,0.96,0.4,62.4112
36.9987,0.238,13.2,810.4665,0.0796,,,,,,,6093,1.6,1.32,0.33,85.6009
472,1.26,14.1,184.3404761,0.41,,,90,,,,5752,1.32,1.2,0.03,52.9051
5.8854,0.0644,3.52,12.19,0.07,,,,,,,5869,1.075139,1.03,0.04,21.9532
13.1354,0.11,2.91,8.81,0.07,,,,,,,5869,1.075139,1.03,0.04,21.9532
963.6,1.92,13.5,568.89,0.778,,,,,,,5566,1.26442,0.98,0.23,46.8733
225.79,0.6793,9.03,60.16491745,0.067,,,,,,,5466,0.89,0.82,-0.17,34.354
345.43,0.902,14.2,174.4877954,0.019,,,,,,,5466,0.89,0.82,-0.17,34.354
44.073,0.237,14.3,137.62039,0.607,,,,,,,5294,0.94,0.92,0.26,34.8541
20324.58153,15.369,11.9,8445.336431,0.565,,,62.585,,,,6114.04,1.28194,1.15,0.34,55.0375
3.023573,0.0398,10,71.8,0.063,,,,,,,5285,0.914196,0.92,0.24,29.5529
4.0845,0.05,5.02,22.2481,0.04,,,,,,,5657,1.08,0.96,0.24,37.4574
1353.6,2.395,13,111.42,0.249,,,,,,,5657,1.08,0.96,0.24,37.4574
371.74,1.129,13.4,631.2072163,0.266,,,,,,,4898,5.03,1.39,-0.01,54.7841
3184.2,4.725,13.1,1069.49259,0.187,,,,,,,4898,5.03,1.39,-0.01,54.7841
360.08,1.207,13.4,661.7187434,0.071,,,,,,,4866,7.3,1.81,-0.02,84.3552
677.53,1.84,13.5,483.7348355,0.161,,,,,,,4866,7.3,1.81,-0.02,84.3552
712.13,1.93,12.6,2330,0.2,,,,,,,4380,23.47,2.1,-0.65,122.536
434,1.14,12.3,4417.837,0.23,,,,,,,4076,42.4,1.05,-0.91,537.873
778.51,1.814,12.6,2351.930212,0.211,,,11.7,,,,5733,1.901,1.312,0.3,90.5446
10418,10.4,12.9,1414.336411,0.41,,,89,,,,5805,2.05,1.38,0.39,90.5446
7.34013,0.0652,2.06,4.88,0.055,138.85,957,,,,,4593,0.679,0.686,-0.21,16.9043
38.06,0.1951,2.6,7.27,0.55,15.5,553,,,,,4593,0.679,0.686,-0.21,16.9043
151.92,0.4894,3.24,10.59,0.055,2.46,349,,,,,4593,0.679,0.686,-0.21,16.9043
400.5,1.167,13.5,513.29545,0.066,,,,,,,4802,5.01,1.32,0.18,204.277
4.94737,0.06,6.2,31.783,0.09,,,,,,,5602,1.02,1.03,0.32,43.0399
2447.1,3.833,13.5,519.96988,0.266,,,,,,,6102,1.351,1.253,0.26,46.2845
8619.9,9.02,13.2,931.2419,0,,,,,,,6099,1.42,1.31,0.38,46.2845
1293,2.353,12.8,1859.296181,0.501,,,61,,,,5987,1.02,1.04,-0.04,31.1664
14.0726,0.1059,3.62,12.77,0.09,,,,,,,5358,0.916136,0.8,-0.07,35.0553
95.9446,0.3809,3.87,14.31,0.14,,,,,,,5358,0.916136,0.8,-0.07,35.0553
119.27,0.52,13.7,384.5743,0.27,,405,,,,,6136,1.32,1.204,0.21,29.9803
14.339156,0.1202,2.45,7.8,0.08,132,943,89.27,0.27,0.03926347,4.8,6203,1.194,1.126,-0.12,57.5846
40.87,0.2416,4.49,18.4,0.07,,,,,,,6203,1.194,1.126,-0.12,57.5846
637.1,1.57,13.5,494.54348,0.092,,,,,,,4871,4.06,1.27,0.15,121.405
872.2,1.93,13.8,334.67499,0.183,,,,,,,4871,4.06,1.27,0.15,121.405
1827,3.18,12.9,1357.127298,0.705,,,57,,,,6012,1.52,1.29,0.37,77.9693
139.35,0.53,12.8,1837.0574,0.076,,,,,,,4830,9.09,1.01,-0.5,219.216
768.7,1.79,13.7,371.2235794,0.11,,,,,,,4807,5.43,1.29,0.04,58.1105
492.3,1.2,12.5,104.88,0.096,,,,,,,5902,1.01,0.961,-0.2,51.1659
29.04992,0.229,3.71,13.3,0.68,1614.3559,1133,89.3,0.34,0.02970644,7.58,8500,1.751,1.89,0,272.217
5859.08992,6.426,12.8,1880.908513,0.273,,,170.006,,,,5743,1.77793,1.03,,61.4925
177.11,0.64,12.6,2425.0429,0.07,,,,,,,4673,10.64,1.93,-0.37,283.502
299.36,1.086,12.7,2199.3836,0.05,,,,,,,4658,13.2,1.9,0.15,89.2721
495.4,1.5,12.7,2065.895,0.27,,,,,,,4348,27,1.7,-0.17,315.211
201.9,0.77,13.8,336.8998,0.26,,,,,,,6245,2.57,1.5,-0.26,25.9716
600.1,1.6,13.3,797.7533,0.03,,,,,,,6245,2.57,1.5,-0.26,25.9716
5.2549,0.06,2.42763557,10,0,339.1,1075.31,,0.282173,0.0567,3.239598,5934,1.0072,1.0269,-0.05,67.6203
5138,6.15,12.1,5965.639199,0.607,0.072,,137.3,,,,6255,1.401,1.157,-0.11,53.112
74839.94555,36.984,12,7923.462187,0.773,,,38.789,,,,6255,1.401,1.19,-0.11,53.112
589.64,1.64,13.3,731,0.02,,,,,,,4892.63,8.9,2,0.1027,10.34
14306.88519,11.842,12.6,2707.580199,0.15,,,162.313,,,,5930.46,1.23227,1.08,,49.3305
7.1079475,0.072,2.14,21.755,0.24,145.5707,967.11,89.075,0.266,0.05016058,3.2441716,5553,0.934,0.956,-0.07,22.4035
20.5438281,0.146,2.692,15.539,0.21,35.3582,678.92,89.07,0.544,0.07993817,4.068,5553,0.934,0.956,-0.07,22.4035
4.209075,0.0503,1.073,1.25,0.16,,1040,88.73,0.23,,2.585,5688,0.912,0.99,0.03,22.4035
2.81805,0.04,12.31,79.4575,0,,,,,,,4812,0.77,0.42,0.1,37.6894
358,0.94,14.2,168.4499,0.24,,,,,,,5449,0.83,0.65,-0.16,32.5376
9.058807,0.083,2.91575244,10.5,0,115.6,825.22,88.49,0.2958,0.0875,3.7026559,5513,0.9598,0.9406,0.107,48.9739
21.4027,0.148,3.06451296,11.1,0,36.7,619.59,88.241,0.273225,0.0960754,5.4205342,5513,0.9598,0.9406,0.107,48.9739
45.791,0.246,4.41,17.8,0.12,,,,,,,5676,0.882858,0.95,,31.5262
623,1.51,13.2,813.6407219,0.11,,,,,,,5078,5.44,1.64,-0.21,129.966
21.998,0.14,14.2,155.7367,0.17,,,,,,,5769,1.12,1.1,-0.55,42.358
577.6,1.301,13.6,411.58985,0.27,,,,,,,5612,0.88,0.874,-0.1685,35.1205
5370,5.75,13.4,645.1949,0.17,,,,,,,5612,0.88,0.874,-0.1685,35.1205
480.5,1.2,12.8,1906.9,0.07,,,,,,,4323,21.4,1.1,-0.323,68.1509
2269.81726,3.395,12.4,3478.949743,0.471,,,16.639,,,,5716,1.13,1.01,0.23,53.2817
10478.84437,9.408,13.5,560.64931,0.207,,,93.938,,,,5716,1.13,1.01,0.23,53.2817
352.2,1.08,13.1,973,0.17,,,,,,,6330,1.55,1.36,0.25,76.5217
2374,3.86,12.9,1540,0.76,,,,,,,6330,1.55,1.36,0.25,76.5217
1103,2.18,12.6,2510.844415,0.03,,,20.3,,,,5950,1.02,1.12,0.29,78.4293
7832,7.27,12.8,1639.99458,0.62,,,87,,,,5022,0.79099,0.83,0.07,33.4297
663.87,2.03,11.9,8981.830782,0.28,,,,,,,3802,86.4,2.49,-0.03,61.12469
6.27711,0.07,13.4,626.1251,0.12,,,83,,,,5932,1.19,1.28,0.35,60.8447
16000,13.2,12.2,4776.960957,0.45,,,93,,,,5883.41,1.255733,1.171665,0.3052,60.8447
1193.3,2.482,13.1,982.0897776,0.19,,,70,,,,4842,7.72,1.68,0.05,75.116
8.667,0.0785,3.17,10.2,0.1,,,,,,,5385,0.886947,0.86,-0.05,12.5591
31.56,0.186,3.46,11.8,0.13,,,,,,,5385,0.886947,0.86,-0.05,12.5591
197,0.63,4.45,18.1,0.07,,,,,,,5385,0.886947,0.86,-0.05,12.5591
851.8,1.76,12.8,1900,0.4,,,,,,,5737,0.976919,1,-0.18,59.182
2124.54,3.318,13,1239.530787,0.175,,,29.9,,,,5732,0.984,1.078,0.22,29.276
615,1.36,,3639.13526,0.19,,,1.496,,,,5371,0.97,0.77,0.32,36.1531
858,1.88,13.5,561.92344,0.124,,,,,,,4934,4.96,1.21,-0.13,126.339
3549,4.607,13.2,949.6712801,0.2393,,,77.583,,,,5929,1.36,1.033,-0.02,51.8949
35500,21.5,12.1,6165.871096,0.114,,,40,,,,5929,1.36,1.033,-0.02,51.8949
39.44603,0.228,12.8,1737.885729,0.419,,,,,,,5688,1.22,1.01,0.25,69.7311
2690,3.8,12.2,5085.254512,0.16,,,29,,,,5570,0.944723,1,0.29,36.708
1257.99159,2.229,13,1321.530516,0.261,,,130.843,,,,5387,0.909,0.93,0.03,50.4093
17071.78045,12.688,12.8,1630.777556,0.089,,,91.849,,,,5387,0.909,0.93,0.03,50.4093
15.611,0.131,2.884,10.48,0.03,111.9729,911,88.082,0.783,0.05204898,3.304,6252.6,1.22,1.2,0.143,35.26
65.94,0.3388,13.5,118.5499958,0.124,,,,,,,6148,1.22,1.19,0.16,35.26
5823,6.7,13.2,810.4624379,0.18,,,59,,,,6148,1.22,1.19,0.16,35.26
188.3,0.65,13.1,978.9164,0.19,,,,,,,5601,1.53,1.14,0.22,97.2396
379.1,1.03,13.3,715.09,0.28,,,,,,,5601,1.53,1.014,0.22,97.2396
1750,2.99,13.7,353.42696,0.126,,,,,,,4917,2.58,1.16,0.232,83.3321
6.398042,0.0604,2.79,10.2,0.09,43.3,714,88.37,0.566,0.1446,2.143,4511,0.65,0.73,0,31.5666
18.87974,0.1242,2.39,9.7,0.08,10.2,498,89.72,0.21,0.1199,3.67,4511,0.65,0.73,0,31.5666
51.63564,0.28,13.5,532.3625817,0.636,,,,,,,6068,1.510576,1.1,0.131,57.603
2448.48726,3.678,12.5,2753.983147,0.377,,,120.162,,,,6068,1.510576,1.1,0.131,57.603
1270.55195,2.438,12.6,2597.929399,0.752,,,171.631,,,,6024,0.97,1.196,-0.105,38.662
15.017,0.121,5.12,23,0.1,123,,,,,,5783,1.333,1.039,0.07,52.0648
3449,4.5,14,126,0.2,0.088,,,,,,5783,1.333,1.039,0.07,52.0648
3.50927,0.05,14.2,155.7367,0.03,,1260,,,,,6117,1.23,1.29,0.26,29.1158
4356,5.3,12.8,1716.273398,0.39,,,29,,,,5697.46,0.940904,1.06,0.0857,30.3288
341.2,1.032,13.8,317.83,0.097,,,,,,,4867,3.4,1.26,0.25,85.4321
7900,8.4,12.8,1792.5612,0.489,,,,,,,4867,3.4,1.26,0.25,85.4321
422.82,1.2025,13.2,810.4624379,0.105,,,,,,,6122,1.55,1.295,0.29,78.0505
6717,7.39,12.6,2698.363175,0.08,,,153,,,,6122,1.55,1.295,0.29,78.0505
3.97097,0.05,9.6,66.7443,0.09,,,,,,,5644,1.37,0.99,0.31,60.8831
415.891,1.091,13.1,994.8029139,0.8782,,,,,,,4664,8.33,1,-0.19,184.031
5.7361,0.06,4.12,15.9,0.09,,,,,,,5341,0.97,1.37,0.32,45.935
6.527363,0.073,2.89646124,10.9,0.211,413.1008,1128.86,87.79,0.593133,0.04154309,2.9756716,6007,1.3174,1.1973,0.215,99.451
273.1,0.9,14.1,203.4101805,0.259,,,,,,,4862,11.06,1.28,-0.28,103.335
5.39792,0.06,,2058.256764,0.06,113.7,825.9,0.2472,,,,5131,0.78,0.65,-0.21,16.9922
15.299,0.1134,,1762.676345,0.098,28.35,583.6,0.2575,,,,5075,0.7821,0.832,-0.15,16.9922
24.451,0.1551,,1568.16536,0.21,15.17,499,0.2188,,,,5075,0.7821,0.832,-0.15,16.9922
1807,2.98,13.6,425.8922,0.575,,,,,,,5748,1.05,1.08,0.18,48.9489
111.436765,0.4603,11.56766808,1323.46927,0.93183,,405,89.24,0.75,1.019,11.98,5565,1.05,1.05,0.35,66.4711
0.719573,0.01661,1.613,5.72,0,6130,2463,82.1,0.4,0.01596404,1.7976,5959,1.22,1.18,0.255,109.86
1752.92067,2.905,12.8,1609.800881,0.924,0.142,203.2,98.559,,,,5837,1.062,1.06,0.17,85.3951
6383.78352,6.462,12.8,1748.056239,0.203,,,141.312,,,,5177.91,0.814842,0.88,-0.2638,34.6011
10839.83341,9.95,12,7505.200003,0.313,,,22.331,,,,6013.24,1.6542,1.11,-0.68,61.3603
1002.7,1.946,12.6,2301.077667,0.525,,,73,,,,5755,0.91,0.99,-0.04,34.4341
183.93,0.648,13.5,525.6881852,0.04,,,,,,,4797,11.13,1.07,-0.32,85.7183
1021.20159,3.233,12,7668.563804,0.097,,,95.594,,,,4140,83.8,4.3,-0.17,269.126
622.97802,2.325,12,7185.782454,0.095,,,,,,,4140,83.8,4.3,-0.17,269.126
705,1.58,13.3,740.5439,0.07,,,,,,,4953,5.26,2.53,-0.31,127.061
441.47,1.18306,13.5,534.25,0.162,,,90,,,,5935,1.1826,1.08,0.26,27.5902
220.078,0.74345,13.4,622.603,0.3663,,,90,,,,5935,1.1826,1.08,0.26,27.5902
158.991,0.533,9.58,66.6,0.2,,,,,,,4914,0.783181,0.8,0.0399,30.6862
2.985628,0.0406,14.1,127.7670196,0.012,,,,,,,5442,0.94,1,0.34,40.8991
8241,8,13.6,476.7426105,0.76,,,,,,,5442,0.94,1,0.34,40.8991
1313,2.45,14,216.1244,0.15,,,,,,,6136,1.19,1.13,0.06,55.4401
799.52,1.373,6.16,31.46517,0.5,,,,,,,5186,0.8,0.758,-0.07,33.5225
35.73,,3.19,10.3,0.06,,640,,,,,5746,1.1303,0.991,-0.02,53.974
227,0.76,13.4,645.1949,0.3,,,,,,,6064,1.38,1.34,0.01,44.8264
25775.78859,15.947,12.5,2877.300569,0.219,,,29.821,,,,4927.56,0.780347,0.81,-0.0202,40.3661
2.1378431,0.0346,13.6,470.3884,0.0119,,,,,,,5939,1.46,1.21,0.22,103.936
1628,2.73,14.3,143.0235,0.059,,176,,,,,5863,1.053,1.019,0.018,45.683
3.98442,0.049,2.16,7.25,0.075,647.901,1311,86.45,0.63,0.0445,3.12,5863,1.053,1.019,0.018,45.683
1488.79123,2.763,12.5,3117.261016,0.821,,,93.591,,,,6210,1.88,1.26,0.202,67.8107
31.1515,0.1916,3.03,9.43,0.067,,,,,,,5610,1.237,0.967,0.2,14.9202
1644.69097,2.97,12.3,4210.590736,0.73,,,95.45,,,,6389.05,1.50225,1.28,0.1474,37.8619
1270,2.72,13,1144.188,0.17,,,,,,,4805,8.8,1.66,0.04,209.839
13.481,0.117,12.4,3941.092,0.05,,,,,,,5770,1.55,1.12,-0.17,73.58352
484.17,1.618,12.7,2142.163463,0.78,,,,,,,4989,9,2.41,0.14,133.233
7596,10.14,12.4,3877.506565,0.19,,,,,,,4989,9,2.41,0.14,133.233
3006,3.77,12.7,2005.497248,0.72,,,16.8,,,,4980,0.798557,0.8,0.11,18.2912
18538.79293,13.895,12.6,2511.797901,0.156,,,169.626,,,,5785.33,1.032,1.04,0.0426,35.9098
3.414884,0.0479,13.8,324.1866,0.031,,,15,,,,5392,2.2,1.26,0.34,73.6123
146.05,0.58,2.49,17.2,0.24,,460,89.9,0.21,,,5861,1.543,1.25,0.06,33.2673
2166,3.27,13.4,642.0133821,0.2,,,72,,,,5955,1.1,1.27,-0.13,32.0104
11.8143,0.1066,7.39794,34.9613,0.22,275.6427,1089,87.21,0.645,0.1509,5.7336,5576,1.747,1.157,0.421,132.345
256.78,0.917,12.6,2653.8805,0.677,,,,,,,6291,2.13257,1.86,0.2238,38.6364
3391.2,4.713,12.8,1748.056239,0.185,,,49.5,,,,6314,1.28588,1.21,0.04,57.3063
49.77,0.25,4.43,17.98,0.31,,,,,,,5599,0.920286,0.84,-0.24,21.9496
1179,2.2,13.7,352.7913,0.12,,,,,,,5577,1.67,1.03,0.39,81.4893
325.803,0.97,13,1195.0408,0.35,,,,,,,5744,1.14,1.15,0.27,34.6538
11611.2975,10.5,13,1166.4361,0.46,,,,,,,5744,1.14,1.15,0.27,34.6538
144.72,0.508,14.3,143.3406116,0.118,1.59,,,,,,5033.8,0.837,0.836,0.13,28.5159
2.45946,0.035,1.69,3.49611248,0.549,,,,,,,5408,0.911435,0.94,-0.23,56.163
14010.2941,11.154,12.3,4154.017279,0.109,,,14.636,,,,5408,0.911435,0.94,-0.23,56.163
7.3426,0.0756,1.88,4.2,0.295,,,,,,,5977,1.18484,1.04,0.02,43.3475
13.18,0.112,2.56,7.1,0.2,,,,,,,5977,1.18484,1.04,0.02,43.3475
45.85,0.2565,2.89,8.7,0.09,,,,,,,5977,1.18484,1.04,0.02,43.3475
1.0376109,0.02061,1.46954368,2.8,0,2898,1842.23,86.21,0.329258,0.021,1.8155952,5908,1.0311,1.0844,0.11,82.3432
3.6451389,0.04726,3.11976057,18.4,0,543.8,1212.45,86.31,0.491787,0.078,2.3643117,5908,1.0311,1.0844,0.11,82.3432
30.052,0.189,14,222.472,0.2,,,,,,,5793,1,1,0.09,50.3503
192.9,0.654,13.4,578.426,0.06,,,,,,,5793,1,1,0.09,50.3503
2164,3.48,14.2,169,0.39,0.271,,,,,,5631,1.903,1.2,0.22,57.7807
1576,2.74,13.7,400.4658,0.14,,,,,,,4798,4.2,1.11,0.12,98.1609
824.61,2.07,13.3,676.9745069,0.22,,,,,,,4867,10.71,1.74,-0.02,61.7012
2492.19,4.33,12.5,2831.851106,0.05,,,,,,,4867,10.71,1.74,-0.02,61.7012
,55.7,12.9,1589,,,1000,,,,,7595,1.48667,1.6,0.14,86.2279
464.4,1.36,13.7,400.4658,0.119,,,,,,,4918,5.08,1.54,0.05,136.957
1785,3.33,13.1,1096.5135,0.284,,,,,,,4918,5.08,1.54,0.05,136.957
482,1.28,12.4,3378.5329,0.11,,,,,,,4218,41.01,3.7,-0.18,676.579
55.082694,0.262,4.27174254,42.9,0.197,7.42,443,89.654,0.37,0.2509,5.587,5097,0.868,0.848,0.08,36.9941
2041.54152,3.166,12.8,1913.644839,0.049,0.1,156.5,86.497,,,,5722,1.088,1.01,0.11,87.8049
2946,2.94,3.76,13.6,0.132,,,,,,,3719,0.3685,0.3899,-0.3621,5.675773
4375,5.15,13,1188.6842,0.06,,,,,,,5312,0.84,0.7,0.41,72.2195
362.5,1.11,13.7,403.6441,0.17,,,,,,,5020,4.75,1.37,-0.3,140.065
647.29999,1.42,12.1,6661.7168,0.3,,,,,,,3943,51.1,10.94,-0.24,587.659
498.04,1.332,14,227.88411,0.685,,,,,,,5733,1.94,1.27,0.34,85.3006
8.1245,0.0777,2.93,8.9,0.138,,,,,,,5845,1.16,0.89,-0.18,25.4111
19.88,0.141,1.69,3.5,0.293,,,,,,,5845,1.16,0.89,-0.18,25.4111
103.5,0.424,3.61,12.7,0.27,,,,,,,5845,1.16,0.89,-0.18,25.4111
514,1.24,13.7,362.3262,0.41,,,,,,,4725,7.43,0.96,-0.45,396.082
6449.08337,6.925,12.1,6707.76853,0.357,,,14.561,,,,5874.1,1.26356,1.06,-0.0773,32.413
,130,13.3,794.575,,,,40,,,,10000,2.25,2.4,,183.857
9.4897116,0.0805,2.12,8.3,0.05,41.924,751,89.05,0.39,0.0712,2.8488,5212,0.728,0.85,-0.23,21.5618
433.8,1.26,13.4,624.21812,0.079,,,,,,,4925,4.6,1.41,-0.02,113.704
5384,5.97,12.5,3082.935548,0.852,,,43.7,,,,5759,1.01,0.97,-0.06,42.1727
968.8,1.864,13.3,740.5439,0.226,,,,,,,5271,0.93,0.92,0.36,32.4459
439.29999,1.11,14.3,139.8452,0.09,,,,,,,5282,0.98,0.76,0.35,54.7901
310.4,1.08,13.8,308.2935548,0.2,,,,,,,4886,11.21,1.76,-0.16,111.093
17.0503,0.12,5.44,25.5,0.034,,,,,,,4929,0.822539,0.85,0.3,18.2038
95.233,,4.42,17.9,0.063,,,,,,,4929,0.822539,0.85,0.3,18.2038
841,1.98,13.7,390.9309,0.25,,,,,,,4862,5.52,1.46,0.14,146.6
1278,,12.8,1808.4527,0.411,,,,,,,4891,5.4,1.72,0.14,146.6
184.2,0.81,12.6,2606.1,0.02,,,,,,,4780,10.305119,2.1,0.31,78.6381
55.199,0.243,3.64,12.9,0.18,,,,,,,4006,0.513922,0.63,,23.6434
144.3,0.72,13.4,629.3034,0.09,,,,,,,4945,11.6,2.42,0.03,105.18
499.48,1.134,13.5,495.8148,0.549,,,,,,,5180,0.831075,0.78,-0.26,58.9582
232.08,0.706,13.2,851.7844,0.163,,,,,,,5530,0.971958,0.87,-0.12,66.3361
487.08,1.32,13.7,384.5723725,,,,,,,,4891,4.53,1.28,-0.01,88.077
893.63,1.97,13.9,257.4410097,,,,,,,,4891,4.53,1.28,-0.01,88.077
7.610303,0.06899,1.829,4,0.17,,721,88.23,0.656,0.0596,2.1384,4930,0.742,0.761,-0.1,46.2122
14.245648,0.10479,2.4,6.35,0.17,180.487,585,89.24,0.614,0.1051,4.2336,4930,0.742,0.761,-0.1,46.2122
1481.6,2.84,13.4,616.5871096,0.21,,,,,,,4823,5.27,1.39,0.06,101.766
9.1004157,0.0792,2.469,9.7,0.215,51.2858,753.2,88.91,0.34,0.0889,2.431,5048,0.758,0.8,0,62.4491
57.435,0.25,13.2,114.4188,0.17,,,,,,,3901,0.65,0.69,-0.14,23.371
6.673892,0.0696,13,1239.537,0.14399,,,,,,,5544,1.07,1.01,0.24,50.48
147.747,0.549,13.6,416.3573,0.1566,,,,,,,5544,1.07,1.01,0.24,50.48
981.8,1.94,14.1,187.5197,0.185,,,,,,,5544,1.07,1.01,0.24,50.48
674.94,1.61,14,244.7278734,,,,,,,,4860,4.83,1.21,-0.01,47.0288
50.65905,0.234,4.94,21.61233168,0.304,,,,,,,4316,0.772319,0.67,,40.2707
22000,17,12,7627.881768,0.36,,1300,95.3,,,,6655,1.59186,1.4,0.13,43.4073
3.5379559,0.04518,1.551,4.5,,451,1123,86.3,0.514,,2.429,5289,0.98,0.901,0.24,68.192
6.429575,0.0673,1.538,5.14,,203,920,88.9,0.443,,3.08,5289,0.98,0.901,0.24,68.192
159.986,0.492,13.9,263.7975778,0.305,,,,,,,4050,0.6186,0.62,,22.8386
41.516,0.217,3.61,12.7,0.16,,,,,,,4881,0.773404,0.79,,33.1562
26125.56497,15.898,12.6,2589.983689,0.138,,,43.698,,,,4836,0.697551,0.78,,50.1677
60.722,0.256,2.77,8.1,0.17,,,,,,,4086.3,0.626646,0.61,,17.7886
3477.768,3.805,7.94,48.4,0.16,,,,,,,4086.3,0.626646,0.61,,17.7886
31000,22.1,12,7500.750405,0.55,,,84,,,,7201,1.51987,1.52,-0.26,66.3217
15.571893,0.1303,2.419,9.06,0.0213,148.5,970.67,88.816,0.445,0.038,5.038,6371,1.306,1.245,0.046,106.289
31.70838,0.2093,2.505,6.53,0.0678,57.55,765.87,88.462,0.929,0.0292865,2.909,6371,1.306,1.245,0.046,106.289
278.3618,,3.54,4.6,0,3.01,367,89.93,0.5,,12.71,6320,1.273,1.16,-0.1,106.289
369,,4.92,12,,2.1,335,89.91,0.31,,13.007,6320,1.273,1.16,-0.1,106.289
542.0797,,9.2,12,,1.24,294,89.953,0.18,0.5,18.998,6226,1.299,1.14,0.046,106.289
64.067,,2.5,6.81,0.01,22.3,605,95,,,,6371,1.306,1.245,0.046,106.289
34.15,0.176,3.89,14.4,0.25,,,,,,,4010,0.603999,0.62,,21.0974
17.818,0.112,5.11,22.9,0.5,,,,,,,4015.5,0.595456,0.58,,10.5298
345.72,0.89,13.6,451,0.52,,,,,,,4962,0.75,0.78,0.1,51.6026
9017.76,7.7,12.2,4780.1632,0.14,,,,,,,4813,0.754089,0.78,0.17,51.6026
7.76,0.063,2.87,8.62,0.2,,,,,,,4021,0.564998,0.57,,18.7168
15.144,0.099,3.57,12.44,0.2,,,,,,,4021,0.564998,0.57,,18.7168
33000,24.8,12.2,5625.562804,0.42,,,129.6,,,,8100,1.64915,1.9,,82.8101
3274,4,13.3,762.7881768,0.03,0.0143,,116,,,,4799,0.66,0.8,-0.22,39.7429
5138.43727,5.062,12.6,2585.534091,0.362,,,135.022,,,,4171,0.723643,0.65,,25.4893
2675.57603,4.55,12.7,2151.698315,0.118,,,85.093,,,,4769,4.93,1.75,-0.03,122.324
8.1352,0.07,,3359.446262,0.19,,,0.198,,,3.08,4510,0.78,0.29,0.01,25.8618
32.03,0.178,14.2,130,0.05,,,,,,5.88,4640,0.68,0.73,0.09,25.8618
