feature,coef,std_err,t_stat,p_value,ci_lower,ci_upper
intercept,0.7962045165762638,0.0022689286574856457,350.91650588017706,0.0,0.7917511940162287,0.8006578391362988
pl_orbeccen,-0.0006128158097934825,0.00256356289224452,-0.2390484788367854,0.8111252789549541,-0.005644429485453313,0.004418797865866349
pl_trandur,-0.011555960032460792,0.004015884651897879,-2.8775627375152633,0.004107400209428113,-0.01943810725634659,-0.0036738128085749937
pl_imppar,0.0023048971463691267,0.0023236374865112713,0.9919349122869069,0.32150991053313843,-0.0022558047540119333,0.006865599046750187
st_teff,-0.014531173082263697,0.006930417099603104,-2.0967241759656687,0.036311279526203284,-0.02813379682201457,-0.0009285493425128244
st_rad,0.014042651064205172,0.00573619667205847,2.4480769867267953,0.014562136054084756,0.0027839744353928848,0.02530132769301746
st_met,-0.003811910520572187,0.0025063950982946903,-1.520873753370228,0.12866123642025287,-0.00873131854108095,0.0011074974999365746
log_pl_orbsmax,0.01013819666853216,0.0047442141374358215,2.136960173979775,0.032884440137483796,0.00082652625607719,0.01944986708098713
log_pl_trandep,0.018241187134614992,0.003447907177801064,5.290509922093809,1.5507207241334511e-07,0.011473833401763889,0.025008540867466095
log_pl_bmasse,0.09257698013259202,0.002339013637168702,39.57949567350679,1.7649564748624582e-195,0.08798609880881511,0.09716786145636894
log_pl_eqt,-0.000741816357900395,0.005398559097469167,-0.13741006526133184,0.8907390268835389,-0.011337797391118098,0.00985416467531731
log_sy_dist,0.0326531452361215,0.003939923521674648,8.287761185334485,4.443368385460298e-16,0.02492009014600237,0.04038620032624063
