lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.001,0.004672054148817187,0.0018826410256312523,0.6749562876463558
0.0031622776601683794,0.0046720506589636845,0.0018826370985912126,0.6749565348255537
0.01,0.004672039627176295,0.0018826246793535496,0.6749573161803557
0.03162277660168379,0.004672004782558033,0.0018825853978177067,0.6749597840986052
0.1,0.004671895002907013,0.0018824610943867527,0.6749675589770066
0.31622776601683794,0.004671551909318309,0.0018820671778942701,0.6749918535860304
1.0,0.004670506725135455,0.0018808134225448124,0.6750658220836302
3.1622776601683795,0.004667575190335842,0.0018767755580476365,0.6752728803123347
10.0,0.004661443129431705,0.0018634670317304103,0.6757020566553709
31.622776601683793,0.004663198779848344,0.0018192837613545257,0.6755399196308559
100.0,0.004780363196613182,0.0016872371213443832,0.6670556400343204
316.22776601683796,0.005548239424924594,0.0014084915938113937,0.612219562720586
1000.0,0.007899506416224602,0.001124205791519998,0.4454412535559785
