lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.0001,0.004684239920448825,0.000992281572869229,0.6741769413985675
0.00031622776601683794,0.004684218570994835,0.0009923218569955258,0.6741786304929239
0.001,0.004684151142818691,0.0009924492353591814,0.6741839658705967
0.0031622776601683794,0.0046839387634562395,0.0009928519288142502,0.6742007777394573
0.01,0.004683275618709358,0.0009941242406045386,0.674253341869763
0.03162277660168379,0.0046812666236417865,0.0009981409829739015,0.674413344599874
0.1,0.0046757498712615775,0.0010107333295563223,0.6748600228318858
0.31622776601683794,0.004655247623826297,0.0010326951573720092,0.6764043166616637
1.0,0.004612003110556439,0.001045617922744546,0.6794839503474542
3.1622776601683795,0.004686424999306144,0.0010358612356067087,0.6742609425543197
10.0,0.005260369376419656,0.000983765537149026,0.633595042310053
31.622776601683793,0.007966822595910745,0.0008754966642409856,0.4421534393699111
100.0,0.014267221966829127,0.0010524732761536418,-0.001372799072026402
