lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.001,0.004658049644646238,0.0018525184038903713,0.6758219813129802
0.0031622776601683794,0.004658046793140948,0.0018525155293837438,0.6758221885654049
0.01,0.004658037778683504,0.0018525064383953158,0.6758228437503935
0.03162277660168379,0.004658009300396545,0.0018524776801685649,0.675824913580745
0.1,0.004657919523137515,0.0018523866388949451,0.6758314385172826
0.31622776601683794,0.004657638402593554,0.001852097749509616,0.6758518684931846
1.0,0.004656776916089422,0.0018511744765692336,0.675914459676129
3.1622776601683795,0.00465431840672698,0.0018481633399170345,0.6760929341590733
10.0,0.004648951192047668,0.0018378824691174058,0.6764813829981622
31.622776601683793,0.0046507071029159835,0.0018010296658764336,0.6763478992965343
100.0,0.004767801590108588,0.0016797194479931242,0.6679072604316758
316.22776601683796,0.005537829799988463,0.0014081766225582267,0.612952775055424
1000.0,0.007891375423055078,0.0011255719721753672,0.4460358621844843
