column,missing_count,missing_percent,dtype
pl_orbeccen,145,13.376,float
pl_insol,103,9.502,float
pl_orbsmax,86,7.934,float
pl_eqt,79,7.288,float
pl_trandep,51,4.705,float
pl_imppar,44,4.059,float
st_met,35,3.229,float
pl_trandur,24,2.214,float
sy_dist,6,0.554,float
pl_bmasse,0,0.0,float
pl_orbper,0,0.0,float
pl_rade,0,0.0,float
st_logg,0,0.0,float
st_mass,0,0.0,float
st_rad,0,0.0,float
st_teff,0,0.0,float
