model,test_R2,test_RMSE,test_MAE,cv_MSE,cv_R2
Lasso,0.6985937104610422,0.0723021457846426,0.0438885145892248,0.004641777922212712,0.6782917501919266
Ridge,0.6983889169111898,0.07232670482549784,0.044236955616993194,0.004668376729012076,0.6761557377061708
OLS full,0.6983598017857509,0.07233019566251411,0.04398446787407037,0.004677741716492475,0.6755000634213553
OLS selected,0.6894962094210588,0.07338520036657115,0.044065698900849735,0.004584178013504079,0.6818731080318972
