model,test_R2,test_RMSE,test_MAE,cv_MSE,cv_R2
Lasso,0.7480110520772973,0.0569166200488536,0.03792858177698724,0.005092493483023075,0.6727301129125133
OLS full,0.747794138424372,0.05694111186949687,0.03795210324407395,0.005075361310862147,0.6734074448343164
Ridge,0.7476775598253436,0.0569542704616305,0.03820392514626091,0.005073637131173124,0.6734334846896058
OLS selected,0.7439128155396035,0.05737758670676237,0.03901263969303319,0.005103026177712282,0.6716113862126336
