model,test_R2,test_RMSE,test_MAE,cv_MSE,cv_R2
Lasso,0.7480110520772973,0.0569166200488536,0.03792858177698724,0.005092493483023074,0.6727301129125135
OLS full,0.747794138424372,0.05694111186949687,0.03795210324407396,0.005075361310862147,0.6734074448343162
Ridge,0.7476775598253436,0.05695427046163049,0.03820392514626092,0.005073637131173124,0.6734334846896057
OLS selected,0.7439128155396036,0.057377586706762365,0.039012639693033195,0.0051030261777122825,0.6716113862126336
