feature,coef,std_err,t_stat,p_value,ci_lower,ci_upper
intercept,0.796204516576264,0.002281924304775698,348.91802278889656,0.0,0.791725686907811,0.800683346244717
log_pl_bmasse,0.09299193124888186,0.0023364735922853683,39.800120812803165,8.090500444476159e-197,0.08840603537898652,0.0975778271187772
log_pl_insol,-0.0027432645269990286,0.00486945766229991,-0.563361408445504,0.5733365202366761,-0.012300755720524146,0.006814226666526089
log_pl_orbsmax,0.005525121538248809,0.004171626209505043,1.3244526860196222,0.18570665940738687,-0.0026627062497828757,0.013712949326280494
log_pl_trandep,0.015431366182754562,0.0032536731892931514,4.742752355563703,2.4696314357794493e-06,0.009045243741638488,0.021817488623870635
log_pl_trandur,-0.008053810333135455,0.004135969208395356,-1.9472607089983909,0.05183055217711561,-0.01617165261195288,6.403194568196935e-05
log_st_rad,0.01710408125548712,0.006947269420613531,2.4619861732635404,0.01401333769658753,0.0034683807501459836,0.03073978176082826
log_sy_dist,0.02916297173551024,0.0037054270718842757,7.870340225230866,1.0680417005936084e-14,0.021890172778458266,0.03643577069256221
pl_imppar,0.0019871659835676405,0.002327539649282272,0.8537624629425367,0.3934757445666166,-0.00258119485727578,0.006555526824411061
pl_orbeccen,-0.0032440774852058544,0.002433023227690006,-1.3333524515036754,0.1827712948286913,-0.008019475421678784,0.0015313204512670759
st_met,-0.003652088383145823,0.002521566637856992,-1.4483410147945286,0.1478883100171577,-0.008601274228171172,0.0012970974618795252
st_teff,-0.016901681153424167,0.007358193803619013,-2.296987766904337,0.021860342188857677,-0.031343920383228654,-0.002459441923619682
