lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.001,0.004677740123585619,0.0012647865310460478,0.6755001757601494
0.0031622776601683794,0.004677736679856501,0.0012647884146358573,0.6755004186265915
0.01,0.0046777257950275375,0.0012647943684320417,0.6755011862668101
0.03162277660168379,0.0046776914261151825,0.0012648131696370165,0.6755036100526983
0.1,0.004677583259958791,0.0012648723615787325,0.6755112377881783
0.31622776601683794,0.004677246340359573,0.0012650569419995071,0.6755349926930143
1.0,0.00467623078589729,0.0012656154247148244,0.675606554327573
3.1622776601683795,0.0046734769981403145,0.0012671524731006243,0.6758002187890086
10.0,0.004668376729012076,0.0012702868514046532,0.6761557377061708
31.622776601683793,0.004673681196420097,0.0012720721890847324,0.6757601212372198
100.0,0.004792651538172439,0.0012650327566478723,0.6673098154713729
316.22776601683796,0.005543837806881719,0.0012623886079008756,0.614212862176915
1000.0,0.00786761411553424,0.0012889833042316575,0.45004475175011543
