lambda,mean_cv_mse,std_cv_mse,mean_cv_r2
0.0001,0.005092725319237157,0.0014206772698820967,0.6727198279078209
0.00031622776601683794,0.005092722531419703,0.001420672013014347,0.6727199765667077
0.001,0.0050927138165841376,0.0014206554006833088,0.6727204400856251
0.0031622776601683794,0.0050926872680272794,0.0014206029813431083,0.6727218400435464
0.01,0.005092613349495762,0.001420438438283874,0.6727256136358934
0.03162277660168379,0.005092493483023074,0.0014199306991642601,0.6727301129125135
0.1,0.005093180352211278,0.0014184280224578813,0.6726747052621445
0.31622776601683794,0.00510575574234303,0.001414985138759369,0.6718222773473191
1.0,0.005140498095737643,0.0014203030141497512,0.6695383062666873
3.1622776601683795,0.0053008084690196145,0.0013873316419707065,0.6588323823454534
10.0,0.005952670578182923,0.0012650862834452544,0.6155894922601673
31.622776601683793,0.008702222243758417,0.0009780065730240187,0.43421346526088
100.0,0.015531663509022449,0.0012168933831295389,-0.012201417993554267
