feature,coef,std_err,t_stat,p_value,ci_lower,ci_upper
intercept,0.793658766521897,0.002395870381903153,331.261145225835,0.0,0.7889562900524637,0.7983612429913304
pl_orbeccen,-0.004508151887114869,0.002703823124178582,-1.6673249987402337,0.09581600196503727,-0.009815060272058286,0.0007987564978285495
pl_trandur,-0.011413923425439801,0.004213692480726659,-2.7087699156136447,0.006888323004869902,-0.01968431646911746,-0.003143530381762143
pl_imppar,0.0057507432764546595,0.0024820578349233425,2.3169255750369206,0.020743253861288564,0.0008791030355380708,0.01062238351737125
st_teff,-0.014610721324741673,0.0072895290718331595,-2.0043436524860985,0.04534821243649778,-0.028918189371621633,-0.0003032532778617144
st_rad,0.00927903124840755,0.005864484810856199,1.582241500776065,0.11396426693719562,-0.002231441954443315,0.020789504451258413
st_met,0.00013907548307000956,0.0026093050503673064,0.05329981753204065,0.9575054762086854,-0.004982318267446223,0.005260469233586243
log_pl_orbsmax,0.007765799986248982,0.00514160563291959,1.5103842147145152,0.13131488004595313,-0.0023258475780504537,0.017857447550548418
log_pl_trandep,0.013691835439067926,0.003278927678918662,4.175705224332144,3.275209437414004e-05,0.0072561449394673285,0.02012752593866852
log_pl_insol,-0.00590455727471576,0.005808579710848144,-1.0165234134066143,0.309667762283584,-0.017305303165398606,0.005496188615967087
log_pl_bmasse,0.09531687421273645,0.0024664942250756175,38.64467763341884,8.778349095825564e-190,0.09047578132932349,0.10015796709614941
log_sy_dist,0.034443133536983445,0.0040195488804556844,8.568905258114121,4.837082599703449e-17,0.026553794376212473,0.04233247269775442
